CVE,CVSS Score,Base Severity,EPSS Score,CWE,CWE Description,Éditeur,Produit,Versions affectées,Description
CVE-2018-19361,,Non défini,0.0406,Non disponible,,n/a,n/a,n/a,FasterXML jackson-databind 2.x before 2.9.8 might allow attackers to have unspecified impact by leveraging failure to block the openjpa class from polymorphic deserialization.
CVE-2019-12384,,Non défini,0.5168,Non disponible,,n/a,n/a,n/a,"FasterXML jackson-databind 2.x before 2.9.9.1 might allow attackers to have a variety of impacts by leveraging failure to block the logback-core class from polymorphic deserialization. Depending on the classpath content, remote code execution may be possible."
CVE-2022-40664,,Non défini,0.0037,CWE-287,CWE-287 Improper Authentication,Apache Software Foundation,Apache Shiro,Apache Shiro,"Apache Shiro before 1.10.0, Authentication Bypass Vulnerability in Shiro when forwarding or including via RequestDispatcher."
CVE-2022-40615,6.3,Moyenne,0.0008,CWE-89,CWE-89 Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),IBM,Sterling Partner Engagement Manager,"6.1.2, 6.2.0, 6.2.1","
IBM Sterling Partner Engagement Manager 6.1, 6.2, and 6.2.1 is vulnerable to SQL injection. A remote attacker could send specially crafted SQL statements, which could allow the attacker to view, add, modify or delete information in the back-end database. IBM X-Force ID: 236208.

"
CVE-2022-34335,6.5,Moyenne,0.0008,CWE-400,CWE-400 Uncontrolled Resource Consumption,IBM,Sterling Partner Engagement Manager,"6.1.2, 6.2.0, 6.2.1","
IBM Sterling Partner Engagement Manager 6.1.2, 6.2.0, and 6.2.1 could allow an authenticated user to exhaust server resources which could lead to a denial of service. IBM X-Force ID: 229705.

"
CVE-2022-31692,,Non défini,0.0632,Non disponible,Spring is susceptible to authorization rules bypass via forward or include dispatcher types.,n/a,Spring by VMware,"5.7 to 5.7.4, 5.6 to 5.6.8 and older versions","Spring Security, versions 5.7 prior to 5.7.5 and 5.6 prior to 5.6.9 could be susceptible to authorization rules bypass via forward or include dispatcher types. Specifically, an application is vulnerable when all of the following are true: The application expects that Spring Security applies security to forward and include dispatcher types. The application uses the AuthorizationFilter either manually or via the authorizeHttpRequests() method. The application configures the FilterChainProxy to apply to forward and/or include requests (e.g. spring.security.filter.dispatcher-types = request, error, async, forward, include). The application may forward or include the request to a higher privilege-secured endpoint.The application configures Spring Security to apply to every dispatcher type via authorizeHttpRequests().shouldFilterAllDispatcherTypes(true)"
CVE-2019-20330,,Non défini,0.02,Non disponible,,n/a,n/a,n/a,FasterXML jackson-databind 2.x before 2.9.10.2 lacks certain net.sf.ehcache blocking.
CVE-2020-8840,,Non défini,0.0816,Non disponible,,n/a,n/a,n/a,"FasterXML jackson-databind 2.0.0 through 2.9.10.2 lacks certain xbean-reflect/JNDI blocking, as demonstrated by org.apache.xbean.propertyeditor.JndiConverter."
CVE-2022-34305,,Non défini,0.0215,CWE-79,CWE-79 Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),Apache Software Foundation,Apache Tomcat,"Apache Tomcat 8.5 8.5.50 to 8.5.81, Apache Tomcat 9 9.0.30 to 9.0.64, Apache Tomcat 10.0 10.0.0-M1 to 10.0.22, Apache Tomcat 10.1 10.1.0-M1 to 10.1.0-M16","In Apache Tomcat 10.1.0-M1 to 10.1.0-M16, 10.0.0-M1 to 10.0.22, 9.0.30 to 9.0.64 and 8.5.50 to 8.5.81 the Form authentication example in the examples web application displayed user provided data without filtering, exposing a XSS vulnerability."
CVE-2021-30129,,Non défini,0.0024,Non disponible,oom,Apache Software Foundation,Apache Mina SSHD,2.0.0,A vulnerability in sshd-core of Apache Mina SSHD allows an attacker to overflow the server causing an OutOfMemory error. This issue affects the SFTP and port forwarding features of Apache Mina SSHD version 2.0.0 and later versions. It was addressed in Apache Mina SSHD 2.7.0
CVE-2018-14720,,Non défini,0.0341,Non disponible,,n/a,n/a,n/a,FasterXML jackson-databind 2.x before 2.9.7 might allow attackers to conduct external XML entity (XXE) attacks by leveraging failure to block unspecified JDK classes from polymorphic deserialization.
CVE-2020-36518,,Non défini,0.0048,Non disponible,,n/a,n/a,n/a,jackson-databind before 2.13.0 allows a Java StackOverflow exception and denial of service via a large depth of nested objects.
CVE-2022-31690,,Non défini,0.0019,Non disponible,Privilege Escalation in spring-security-oauth2-client,n/a,Spring Security,"Spring Security (5.7 to 5.7.4 and 5.6 to 5.6.8 as well as older, unsupported versions)","Spring Security, versions 5.7 prior to 5.7.5, and 5.6 prior to 5.6.9, and older unsupported versions could be susceptible to a privilege escalation under certain conditions. A malicious user or attacker can modify a request initiated by the Client (via the browser) to the Authorization Server which can lead to a privilege escalation on the subsequent approval. This scenario can happen if the Authorization Server responds with an OAuth2 Access Token Response containing an empty scope list (per RFC 6749, Section 5.1) on the subsequent request to the token endpoint to obtain the access token."
CVE-2022-21541,5.9,Moyenne,0.0016,Non disponible,"Difficult to exploit vulnerability allows unauthenticated attacker with network access via multiple protocols to compromise Oracle Java SE, Oracle GraalVM Enterprise Edition.  Successful attacks of this vulnerability can result in  unauthorized creation, deletion or modification access to critical data or all Oracle Java SE, Oracle GraalVM Enterprise Edition accessible data.",Oracle Corporation,Java SE JDK and JRE,"Oracle Java SE:7u343, Oracle Java SE:8u333, Oracle Java SE:11.0.15.1, Oracle Java SE:17.0.3.1, Oracle Java SE:18.0.1.1, Oracle GraalVM Enterprise Edition:20.3.6, Oracle GraalVM Enterprise Edition:21.3.2, Oracle GraalVM Enterprise Edition:22.1.0","Vulnerability in the Oracle Java SE, Oracle GraalVM Enterprise Edition product of Oracle Java SE (component: Hotspot). Supported versions that are affected are Oracle Java SE: 7u343, 8u333, 11.0.15.1, 17.0.3.1, 18.0.1.1; Oracle GraalVM Enterprise Edition: 20.3.6, 21.3.2 and 22.1.0. Difficult to exploit vulnerability allows unauthenticated attacker with network access via multiple protocols to compromise Oracle Java SE, Oracle GraalVM Enterprise Edition. Successful attacks of this vulnerability can result in unauthorized creation, deletion or modification access to critical data or all Oracle Java SE, Oracle GraalVM Enterprise Edition accessible data. Note: This vulnerability applies to Java deployments, typically in clients running sandboxed Java Web Start applications or sandboxed Java applets, that load and run untrusted code (e.g., code that comes from the internet) and rely on the Java sandbox for security. This vulnerability can also be exploited by using APIs in the specified Component, e.g., through a web service which supplies data to the APIs. CVSS 3.1 Base Score 5.9 (Integrity impacts). CVSS Vector: (CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:H/A:N)."
CVE-2022-21540,5.3,Moyenne,,Non disponible,"Easily exploitable vulnerability allows unauthenticated attacker with network access via multiple protocols to compromise Oracle Java SE, Oracle GraalVM Enterprise Edition.  Successful attacks of this vulnerability can result in  unauthorized read access to a subset of Oracle Java SE, Oracle GraalVM Enterprise Edition accessible data.",Oracle Corporation,Java SE JDK and JRE,"Oracle Java SE:7u343, Oracle Java SE:8u333, Oracle Java SE:11.0.15.1, Oracle Java SE:17.0.3.1, Oracle Java SE:18.0.1.1, Oracle GraalVM Enterprise Edition:20.3.6, Oracle GraalVM Enterprise Edition:21.3.2, Oracle GraalVM Enterprise Edition:22.1.0","Vulnerability in the Oracle Java SE, Oracle GraalVM Enterprise Edition product of Oracle Java SE (component: Hotspot). Supported versions that are affected are Oracle Java SE: 7u343, 8u333, 11.0.15.1, 17.0.3.1, 18.0.1.1; Oracle GraalVM Enterprise Edition: 20.3.6, 21.3.2 and 22.1.0. Easily exploitable vulnerability allows unauthenticated attacker with network access via multiple protocols to compromise Oracle Java SE, Oracle GraalVM Enterprise Edition. Successful attacks of this vulnerability can result in unauthorized read access to a subset of Oracle Java SE, Oracle GraalVM Enterprise Edition accessible data. Note: This vulnerability applies to Java deployments, typically in clients running sandboxed Java Web Start applications or sandboxed Java applets, that load and run untrusted code (e.g., code that comes from the internet) and rely on the Java sandbox for security. This vulnerability can also be exploited by using APIs in the specified Component, e.g., through a web service which supplies data to the APIs. CVSS 3.1 Base Score 5.3 (Confidentiality impacts). CVSS Vector: (CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N)."
CVE-2022-4167,5.3,Moyenne,0.0006,Non disponible,Improper authorization in GitLab,GitLab,GitLab,">=13.11, <15.5.7, >=15.6, <15.6.4, >=15.7, <15.7.2","Incorrect Authorization check affecting all versions of GitLab EE from 13.11 prior to 15.5.7, 15.6 prior to 15.6.4, and 15.7 prior to 15.7.2 allows group access tokens to continue working even after the group owner loses the ability to revoke them."
CVE-2022-3870,5.3,Moyenne,0.0025,Non disponible,Authorization bypass through user-controlled key in GitLab,GitLab,GitLab,">=10.0, <15.5.7, >=15.6, <15.6.4, >=15.7, <15.7.2","An issue has been discovered in GitLab CE/EE affecting all versions starting from 10.0 before 15.5.7, all versions starting from 15.6 before 15.6.4, all versions starting from 15.7 before 15.7.2. GitLab allows unauthenticated users to download user avatars using the victim's user ID, on private instances that restrict public level visibility."
CVE-2023-0042,6.1,Moyenne,0.0007,Non disponible,Url redirection to untrusted site ('open redirect') in GitLab,GitLab,GitLab,">=11.4, <15.5.7, >=15.6, <15.6.4, >=15.7, <15.7.2","An issue has been discovered in GitLab CE/EE affecting all versions starting from 11.4 prior to 15.5.7, 15.6 prior to 15.6.4, and 15.7 prior to 15.7.2. GitLab Pages allows redirection to arbitrary protocols."
CVE-2022-4037,6.4,Moyenne,0.0034,Non disponible,Time-of-check time-of-use (toctou) race condition in GitLab,GitLab,GitLab,">=0.0, <15.5.7, >=15.6, <15.6.4, >=15.7, <15.7.2","An issue has been discovered in GitLab CE/EE affecting all versions before 15.5.7, all versions starting from 15.6 before 15.6.4, all versions starting from 15.7 before 15.7.2. A race condition can lead to verified email forgery and takeover of third-party accounts when using GitLab as an OAuth provider."
CVE-2022-4365,5.5,Moyenne,0.0024,Non disponible,Information exposure in GitLab,GitLab,GitLab,">=11.8, <15.5.7, >=15.6, <15.6.4, >=15.7, <15.7.2","An issue has been discovered in GitLab CE/EE affecting all versions starting from 11.8 before 15.5.7, all versions starting from 15.6 before 15.6.4, all versions starting from 15.7 before 15.7.2. A malicious Maintainer can leak the sentry token by changing the configured URL in the Sentry error tracking settings page."
CVE-2022-3573,5.4,Moyenne,0.0054,Non disponible,Improper neutralization of input during web page generation ('cross-site scripting') in GitLab,GitLab,GitLab,">=15.4, <15.5.7, >=15.6, <15.6.4, >=15.7, <15.7.2","An issue has been discovered in GitLab CE/EE affecting all versions starting from 15.4 before 15.5.7, all versions starting from 15.6 before 15.6.4, all versions starting from 15.7 before 15.7.2. Due to the improper filtering of query parameters in the wiki changes page, an attacker can execute arbitrary JavaScript on the self-hosted instances running without strict CSP."
CVE-2022-3514,4.3,Moyenne,0.0007,Non disponible,Uncontrolled resource consumption in GitLab,GitLab,GitLab,">=6.6, <15.5.7, >=15.6, <15.6.4, >=15.7, <15.7.2","An issue has been discovered in GitLab CE/EE affecting all versions starting from 6.6 before 15.5.7, all versions starting from 15.6 before 15.6.4, all versions starting from 15.7 before 15.7.2. An attacker may cause Denial of Service on a GitLab instance by exploiting a regex issue in the submodule URL parser."
CVE-2022-3613,5.8,Moyenne,0.0005,Non disponible,Uncontrolled resource consumption in GitLab,GitLab,GitLab,">=0.0, <15.5.7, >=15.6, <15.6.4, >=15.7, <15.7.2","An issue has been discovered in GitLab CE/EE affecting all versions before 15.5.7, all versions starting from 15.6 before 15.6.4, all versions starting from 15.7 before 15.7.2. A crafted Prometheus Server query can cause high resource consumption and may lead to Denial of Service."
CVE-2022-4342,5.5,Moyenne,0.0093,Non disponible,Information exposure in GitLab,GitLab,GitLab,">=15.1, <15.5.7, >=15.6, <15.6.4, >=15.7, <15.7.2","An issue has been discovered in GitLab CE/EE affecting all versions starting from 15.1 before 15.5.7, all versions starting from 15.6 before 15.6.4, all versions starting from 15.7 before 15.7.2. A malicious Maintainer can leak masked webhook secrets by changing target URL of the webhook."
CVE-2022-4131,4.3,Moyenne,0.0007,Non disponible,Uncontrolled resource consumption in GitLab,GitLab,GitLab,">=10.8, <15.5.7, >=15.6, <15.6.4, >=15.7, <15.7.2","An issue has been discovered in GitLab CE/EE affecting all versions starting from 10.8 before 15.5.7, all versions starting from 15.6 before 15.6.4, all versions starting from 15.7 before 15.7.2. An attacker may cause Denial of Service on a GitLab instance by exploiting a regex issue in how the application parses user agents."
CVE-2022-38138,7.5,Élevée,0.0006,CWE-824,CWE-824 Access of Uninitialized Pointer,Triangle Microworks,Library: IEC 61850,"Any client or server using the C language library with a version number of 11.2.0 or earlier, Any client or server using the C++, C#, or Java language library with a version number of 5.0.1 or earlier","The Triangle Microworks IEC 61850 Library (Any client or server using the C language library with a version number of 11.2.0 or earlier and any client or server using the C++, C#, or Java language library with a version number of 5.0.1 or earlier) and 60870-6 (ICCP/TASE.2) Library (Any client or server using a C++ language library with a version number of 4.4.3 or earlier) are vulnerable to access given to a small number of uninitialized pointers within their code. This could allow an attacker to target any client or server using the affected libraries to cause a denial-of-service condition."
CVE-2022-2988,4.3,Moyenne,0.0013,CWE-787,CWE-787 Out-of-bounds Write,Schneider Electric,SoMachine HVAC,All,"A CWE-787: Out-of-bounds Write vulnerability exists that could cause sensitive information leakage when accessing a malicious web page from the commissioning software. Affected Products: SoMachine HVAC (Versions prior to V2.1.0), EcoStruxure Machine Expert – HVAC (Versions prior to V1.4.0)"
CVE-2023-22610,9.1,Critique,0.0017,CWE-863,CWE-863 Incorrect Authorization,Schneider Electric,EcoStruxure Geo SCADA Expert 2019 - 2021 (formerly known as ClearSCADA),All,"
A CWE-863: Incorrect Authorization vulnerability exists that could cause Denial of
Service against the Geo SCADA server when specific messages are sent to the server over the
database server TCP port. 



"
CVE-2023-22611,7.5,Élevée,0.0022,CWE-200,CWE-200 Information Exposure,Schneider Electric,EcoStruxure Geo SCADA Expert 2019 - 2021 (formerly known as ClearSCADA),All,A CWE-200: Exposure of Sensitive Information to an Unauthorized Actor vulnerability exists that could cause information disclosure when specific messages are sent to the server over the database server TCP port. Affected Products: EcoStruxure Geo SCADA Expert 2019 - 2021 (formerly known as ClearSCADA) (Versions prior to October 2022)
CVE-2022-1467,7.4,Élevée,0.0028,CWE-668,CWE-668: Exposure of Resource to Wrong Sphere,AVEVA,AVEVA InTouch Access Anywhere,all,"Windows OS can be configured to overlay a “language bar” on top of any application. When this OS functionality is enabled, the OS language bar UI will be viewable in the browser alongside the AVEVA InTouch Access Anywhere and Plant SCADA Access Anywhere applications. It is possible to manipulate the Windows OS language bar to launch an OS command prompt, resulting in a context-escape from application into OS."
CVE-2022-45789,8.1,Élevée,0.0006,CWE-294,CWE-294: Authentication Bypass by Capture-Replay,Schneider Electric,EcoStruxure Control Expert,All Versions,"A CWE-294: Authentication Bypass by Capture-replay vulnerability exists that could cause execution of unauthorized Modbus functions on the controller when hijacking an authenticated Modbus session. Affected Products: EcoStruxure Control Expert (All Versions), EcoStruxure Process Expert (All Versions), Modicon M340 CPU - part numbers BMXP34* (All Versions), Modicon M580 CPU - part numbers BMEP* and BMEH* (All Versions), Modicon M580 CPU Safety - part numbers BMEP58*S and BMEH58*S (All Versions)

"
CVE-2022-45788,7.5,Élevée,0.0029,CWE-754,CWE-754 Improper Check for Unusual or Exceptional Conditions,Schneider Electric,EcoStruxure Control Expert,All Versions,"A CWE-754: Improper Check for Unusual or Exceptional Conditions vulnerability exists that could cause arbitrary code execution, denial of service and loss of confidentiality & integrity when a malicious project file is loaded onto the controller. Affected Products: EcoStruxure Control Expert (All Versions), EcoStruxure Process Expert (All Versions), Modicon M340 CPU - part numbers BMXP34* (All Versions), Modicon M580 CPU - part numbers BMEP* and BMEH* (All Versions), Modicon M580 CPU Safety - part numbers BMEP58*S and BMEH58*S (All Versions), Modicon Momentum Unity M1E Processor - 171CBU* (All Versions), Modicon MC80 - BMKC80 (All Versions), Legacy Modicon Quantum - 140CPU65* and Premium CPUs - TSXP57* (All Versions)

"
CVE-2022-32213,,Non défini,0.8957,CWE-444,HTTP Request Smuggling (CWE-444),NodeJS,Node,"4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0","The llhttp parser <v14.20.1, <v16.17.1 and <v18.9.1 in the http module in Node.js does not correctly parse and validate Transfer-Encoding headers and can lead to HTTP Request Smuggling (HRS)."
CVE-2022-35256,,Non défini,0.0355,CWE-444,HTTP Request Smuggling (CWE-444),NodeJS,Node,"4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0",The llhttp parser in the http module in Node v18.7.0 does not correctly handle header fields that are not terminated with CLRF. This may result in HTTP Request Smuggling.
CVE-2022-1292,,Non défini,0.7019,Non disponible,Command injection,OpenSSL,OpenSSL,"Fixed in OpenSSL 3.0.3 (Affected 3.0.0,3.0.1,3.0.2), Fixed in OpenSSL 1.1.1o (Affected 1.1.1-1.1.1n), Fixed in OpenSSL 1.0.2ze (Affected 1.0.2-1.0.2zd)","The c_rehash script does not properly sanitise shell metacharacters to prevent command injection. This script is distributed by some operating systems in a manner where it is automatically executed. On such operating systems, an attacker could execute arbitrary commands with the privileges of the script. Use of the c_rehash script is considered obsolete and should be replaced by the OpenSSL rehash command line tool. Fixed in OpenSSL 3.0.3 (Affected 3.0.0,3.0.1,3.0.2). Fixed in OpenSSL 1.1.1o (Affected 1.1.1-1.1.1n). Fixed in OpenSSL 1.0.2ze (Affected 1.0.2-1.0.2zd)."
CVE-2022-38773,4.6,Moyenne,0.001,CWE-1326,CWE-1326: Missing Immutable Root of Trust in Hardware,Siemens,SIMATIC Drive Controller CPU 1504D TF,0,Affected devices do not contain an Immutable Root of Trust in Hardware. With this the integrity of the code executed on the device can not be validated during load-time. An attacker with physical access to the device could use this to replace the boot image of the device and execute arbitrary code.
CVE-2022-47935,7.8,Élevée,0.0007,CWE-119,CWE-119: Improper Restriction of Operations within the Bounds of a Memory Buffer,Siemens,JT Open,All versions < V11.1.1.0,"A vulnerability has been identified in JT Open (All versions < V11.1.1.0), JT Utilities (All versions < V13.1.1.0), Solid Edge (All versions < V2023). The Jt1001.dll contains a memory corruption vulnerability while parsing specially crafted JT files. An attacker could leverage this vulnerability to execute code in the context of the current process. (ZDI-CAN-19078)"
CVE-2022-45093,8.5,Élevée,0.0153,CWE-22,CWE-22: Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),Siemens,SINEC INS,All versions < V1.0 SP2 Update 1,"A vulnerability has been identified in SINEC INS (All versions < V1.0 SP2 Update 1). An authenticated remote attacker with access to the Web Based Management (443/tcp) of the affected product as well as with access to the SFTP server of the affected product (22/tcp), could potentially read and write arbitrary files from and to the device's file system. An attacker might leverage this to trigger remote code execution on the affected component."
CVE-2022-2068,,Non défini,0.7104,Non disponible,Command injection,OpenSSL,OpenSSL,"Fixed in OpenSSL 3.0.4 (Affected 3.0.0,3.0.1,3.0.2,3.0.3), Fixed in OpenSSL 1.1.1p (Affected 1.1.1-1.1.1o), Fixed in OpenSSL 1.0.2zf (Affected 1.0.2-1.0.2ze)","In addition to the c_rehash shell command injection identified in CVE-2022-1292, further circumstances where the c_rehash script does not properly sanitise shell metacharacters to prevent command injection were found by code review. When the CVE-2022-1292 was fixed it was not discovered that there are other places in the script where the file names of certificates being hashed were possibly passed to a command executed through the shell. This script is distributed by some operating systems in a manner where it is automatically executed. On such operating systems, an attacker could execute arbitrary commands with the privileges of the script. Use of the c_rehash script is considered obsolete and should be replaced by the OpenSSL rehash command line tool. Fixed in OpenSSL 3.0.4 (Affected 3.0.0,3.0.1,3.0.2,3.0.3). Fixed in OpenSSL 1.1.1p (Affected 1.1.1-1.1.1o). Fixed in OpenSSL 1.0.2zf (Affected 1.0.2-1.0.2ze)."
CVE-2022-45092,9.9,Critique,0.1996,CWE-22,CWE-22: Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),Siemens,SINEC INS,All versions < V1.0 SP2 Update 1,"A vulnerability has been identified in SINEC INS (All versions < V1.0 SP2 Update 1). An authenticated remote attacker with access to the Web Based Management (443/tcp) of the affected product, could potentially read and write arbitrary files from and to the device's file system. An attacker might leverage this to trigger remote code execution on the affected component."
CVE-2022-45094,8.4,Élevée,0.0065,CWE-77,CWE-77: Improper Neutralization of Special Elements used in a Command ('Command Injection'),Siemens,SINEC INS,All versions < V1.0 SP2 Update 1,"A vulnerability has been identified in SINEC INS (All versions < V1.0 SP2 Update 1). An authenticated remote attacker with access to the Web Based Management (443/tcp) of the affected product, could potentially inject commands into the dhcpd configuration of the affected product. An attacker might leverage this to trigger remote code execution on the affected component."
CVE-2021-44002,7.8,Élevée,0.0034,CWE-787,CWE-787: Out-of-bounds Write,Siemens,JT Open,All versions < V11.1.1.0,"A vulnerability has been identified in JT Open (All versions < V11.1.1.0), JT Utilities (All versions < V13.1.1.0), Solid Edge (All versions < V2023). The Jt1001.dll contains an out of bounds write past the end of an allocated structure while parsing specially crafted JT files. This could allow an attacker to execute code in the context of the current process. (ZDI-CAN-15058, ZDI-CAN-19076, ZDI-CAN-19077)"
CVE-2021-44014,7.8,Élevée,0.0069,CWE-416,CWE-416: Use After Free,Siemens,JT Open,All versions < V11.1.1.0,"A vulnerability has been identified in JT Open (All versions < V11.1.1.0), JT Utilities (All versions < V13.1.1.0), Solid Edge (All versions < V2023). The Jt1001.dll contains a use-after-free vulnerability that could be triggered while parsing specially crafted JT files. An attacker could leverage this vulnerability to execute code in the context of the current process. (ZDI-CAN-15057, ZDI-CAN-19081)"
CVE-2022-43513,8.2,Élevée,0.001,CWE-73,CWE-73: External Control of File Name or Path,Siemens,Automation License Manager V5,0,"A vulnerability has been identified in Automation License Manager V5 (All versions), Automation License Manager V6 (All versions < V6.0 SP9 Upd4), TeleControl Server Basic V3 (All versions < V3.1.2). The affected components allow to rename license files with user chosen input without authentication.
This could allow an unauthenticated remote attacker to rename and move files as SYSTEM user."
CVE-2022-32222,,Non défini,0.0042,CWE-310,Cryptographic Issues - Generic (CWE-310),NodeJS,Node,"4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0",A cryptographic vulnerability exists on Node.js on linux in versions of 18.x prior to 18.40.0 which allowed a default path for openssl.cnf that might be accessible under some circumstances to a non-admin user instead of /etc/ssl as was the case in versions prior to the upgrade to OpenSSL 3.
CVE-2022-32212,,Non défini,0.0006,CWE-284,Improper Access Control - Generic (CWE-284),NodeJS,Node,"4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0","A OS Command Injection vulnerability exists in Node.js versions <14.20.0, <16.20.0, <18.5.0 due to an insufficient IsAllowedHost check that can easily be bypassed because IsIPAddress does not properly check if an IP address is invalid before making DBS requests allowing rebinding attacks."
CVE-2019-13940,5.3,Moyenne,0.006,CWE-400,CWE-400: Uncontrolled Resource Consumption,Siemens,SIMATIC ET 200pro IM154-8 PN/DP CPU,All versions < V3.X.17,"A vulnerability has been identified in SIMATIC ET 200pro IM154-8 PN/DP CPU (All versions < V3.X.17), SIMATIC ET 200pro IM154-8F PN/DP CPU (All versions < V3.X.17), SIMATIC ET 200pro IM154-8FX PN/DP CPU (All versions < V3.X.17), SIMATIC ET 200S IM151-8 PN/DP CPU (All versions < V3.X.17), SIMATIC ET 200S IM151-8F PN/DP CPU (All versions < V3.X.17), SIMATIC S7-1200 CPU family (incl. SIPLUS variants) (All versions < V4.1), SIMATIC S7-300 CPU 314C-2 PN/DP (All versions < V3.X.17), SIMATIC S7-300 CPU 315-2 PN/DP (All versions < V3.X.17), SIMATIC S7-300 CPU 315F-2 PN/DP (All versions < V3.X.17), SIMATIC S7-300 CPU 315T-3 PN/DP (All versions < V3.X.17), SIMATIC S7-300 CPU 317-2 PN/DP (All versions < V3.X.17), SIMATIC S7-300 CPU 317F-2 PN/DP (All versions < V3.X.17), SIMATIC S7-300 CPU 317T-3 PN/DP (All versions < V3.X.17), SIMATIC S7-300 CPU 317TF-3 PN/DP (All versions < V3.X.17), SIMATIC S7-300 CPU 319-3 PN/DP (All versions < V3.X.17), SIMATIC S7-300 CPU 319F-3 PN/DP (All versions < V3.X.17), SIMATIC S7-400 PN/DP V6 and below CPU family (incl. SIPLUS variants) (All versions), SIMATIC S7-400 PN/DP V7 CPU family (incl. SIPLUS variants) (All versions), SIMATIC WinAC RTX 2010 (All versions), SIMATIC WinAC RTX F 2010 (All versions), SIPLUS ET 200S IM151-8 PN/DP CPU (All versions < V3.X.17), SIPLUS ET 200S IM151-8F PN/DP CPU (All versions < V3.X.17), SIPLUS S7-300 CPU 314C-2 PN/DP (All versions < V3.X.17), SIPLUS S7-300 CPU 315-2 PN/DP (All versions < V3.X.17), SIPLUS S7-300 CPU 315F-2 PN/DP (All versions < V3.X.17), SIPLUS S7-300 CPU 317-2 PN/DP (All versions < V3.X.17), SIPLUS S7-300 CPU 317F-2 PN/DP (All versions < V3.X.17). Affected devices contain a vulnerability that could cause a denial of service condition of the web server
by sending specially crafted HTTP requests to ports 80/tcp and 443/tcp.

Beyond the web service, no other functions or interfaces are affected by the denial of service condition."
CVE-2019-10923,7.5,Élevée,0.0047,CWE-400,CWE-400: Uncontrolled Resource Consumption,Siemens,Development/Evaluation Kits for PROFINET IO: DK Standard Ethernet Controller,All versions < V4.1.1 Patch 05,An attacker with network access to an affected product may cause a denial of service condition by breaking the real-time synchronization (IRT) of the affected installation.
CVE-2022-2274,,Non défini,0.5801,Non disponible,Memory Corruption,OpenSSL,OpenSSL,Affects OpenSSL 3.0.4,The OpenSSL 3.0.4 release introduced a serious bug in the RSA implementation for X86_64 CPUs supporting the AVX512IFMA instructions. This issue makes the RSA implementation with 2048 bit private keys incorrect on such machines and memory corruption will happen during the computation. As a consequence of the memory corruption an attacker may be able to trigger a remote code execution on the machine performing the computation. SSL/TLS servers or other servers using 2048 bit RSA private keys running on machines supporting AVX512IFMA instructions of the X86_64 architecture are affected by this issue.
CVE-2022-32215,,Non défini,0.8849,CWE-444,HTTP Request Smuggling (CWE-444),NodeJS,Node,"4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0","The llhttp parser <v14.20.1, <v16.17.1 and <v18.9.1 in the http module in Node.js does not correctly handle multi-line Transfer-Encoding headers. This can lead to HTTP Request Smuggling (HRS)."
